// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
// <0336> 俺は再びそばに寄って、今度こそ肩を抱いた。
<0336> 俺は再びそばに寄って、今度こそ肩を抱いた。

// <0337> 朱音は思い切りすがってきた。
<0337> 朱音は思い切りすがってきた。

// <0338> 顔を俺の腹に押しつけ、腕を腰に回した。
<0338> 顔を俺の腹に押しつけ、腕を腰に回した。

// <0339> …最初からそうしたかったのだ、たぶん。
<0339> …最初からそうしたかったのだ、たぶん。

// <0340> 朱音
<0340> 朱音

// <0341> 「…ええ、好きだったわよ！　憎みきることなんてできなかった！」
<0341> 「…ええ、好きだったわよ！　憎みきることなんてできなかった！」

// <0342> 朱音
<0342> 朱音

// <0343> 「虚ろだった私に心を与えてくれて…闇からすくいあげてくれて…そのことを感謝もしている…」
<0343> 「虚ろだった私に心を与えてくれて…闇からすくいあげてくれて…そのことを感謝もしている…」

// <0344> 朱音
<0344> 朱音

// <0345> 「だとしても、忌々しいと思ってしまうのよ…！」
<0345> 「だとしても、忌々しいと思ってしまうのよ…！」

// <0346> 瑚太朗
<0346> 瑚太朗

// <0347> 「い、いいんじゃないですか？　好きってんなら、それで」
<0347> 「い、いいんじゃないですか？　好きってんなら、それで」

// <0348> 瑚太朗
<0348> 瑚太朗

// <0349> 「愛されてなかろうが、利用されてようが、好きなら好きで」
<0349> 「愛されてなかろうが、利用されてようが、好きなら好きで」

// <0350> 朱音
<0350> 朱音

// <0351> 「それが、本当の愛じゃなくとも…？」
<0351> 「それが、本当の愛じゃなくとも…？」

// <0352> 瑚太朗
<0352> 瑚太朗

// <0353> 「ええ…」
<0353> 「ええ…」

// <0354> 朱音
<0354> 朱音

// <0355> 「何よそれ。そんなの意味ないわ」
<0355> 「何よそれ。そんなの意味ないわ」

// <0356> 瑚太朗
<0356> 瑚太朗

// <0357> 「意味を求めちゃうから難しいんです」
<0357> 「意味を求めちゃうから難しいんです」

// <0358> 瑚太朗
<0358> 瑚太朗

// <0359> 「朱音さんは、もうちょっと適当でいいと思うけど」
<0359> 「朱音さんは、もうちょっと適当でいいと思うけど」

// <0360> 朱音
<0360> 朱音

// <0361> 「適当な聖女なんて、誰も許さないわよ」
<0361> 「適当な聖女なんて、誰も許さないわよ」

// <0362> 瑚太朗
<0362> 瑚太朗

// <0363> 「じゃあ」
<0363> 「じゃあ」

// <0364> 瑚太朗
<0364> 瑚太朗

// <0365> 「やめますか、聖女？」
<0365> 「やめますか、聖女？」

// <0366> 瑚太朗
<0366> 瑚太朗

// <0367> 「で、俺と新興宗教やりましょうよ。朱音さんがカリスマ教祖、俺が事務」
<0367> 「で、俺と新興宗教やりましょうよ。朱音さんがカリスマ教祖、俺が事務」

// <0368> 朱音
<0368> 朱音

// <0369> 「………」
<0369> 「………」

// <0370> 朱音
<0370> 朱音

// <0371> 「…ふふ」
<0371> 「…ふふ」

// <0372> 朱音
<0372> 朱音

// <0373> 「あははっ」
<0373> 「あははっ」

// <0374> 朱音
<0374> 朱音

// <0375> 「こんな時なのに、笑わせないでちょうだい、ばか」
<0375> 「こんな時なのに、笑わせないでちょうだい、ばか」

// <0376> 瑚太朗
<0376> 瑚太朗

// <0377> 「はは…」
<0377> 「はは…」

// <0378> 罵られはしたが、抱いた肩から強ばりは抜けていた。
<0378> 罵られはしたが、抱いた肩から強ばりは抜けていた。

// <0379> 瑚太朗
<0379> 瑚太朗

// <0380> 「いつでも逃げられるから…それは忘れないで」
<0380> 「いつでも逃げられるから…それは忘れないで」

// <0381> 朱音
<0381> 朱音

// <0382> 「………」
<0382> 「………」

// <0383> 朱音が立ち上がる。
<0383> 朱音が立ち上がる。

// <0384> 顔が接近した。
<0384> 顔が接近した。

// <0385> そして…わずかな時間だけ、触れた。
<0385> そして…わずかな時間だけ、触れた。

// <0386> 朱音
<0386> 朱音

// <0387> 「ん…っ」
<0387> 「ん…っ」

// <0388> ずるずると胸元まで滑り落ちた朱音は、そこで顔を埋めて幼子のように嗚咽した。
<0388> ずるずると胸元まで滑り落ちた朱音は、そこで顔を埋めて幼子のように嗚咽した。

// <0389> やっと、はじめて見る姿。
<0389> やっと、はじめて見る姿。

// <0390> 張りつめていた糸が切れて。
<0390> 張りつめていた糸が切れて。

// <0391> 朱音が胸にすがりついてくる。
<0391> 朱音が胸にすがりついてくる。

// <0392> 強くすがってくる。
<0392> 強くすがってくる。

// <0393> 強く抱きしめた。
<0393> 強く抱きしめた。

// <0394> …
<0394> …

// <0395> …
<0395> …

// <0396> …
<0396> …

// <0397> 文字通りの殴打で、叩き起こされた。
<0397> 文字通りの殴打で、叩き起こされた。

// <0398> 瑚太朗
<0398> 瑚太朗

// <0399> 「いってぇな母ちゃん！」
<0399> 「いってぇな母ちゃん！」

// <0400> 朱音
<0400> 朱音

// <0401> 「津久野が来た！　起きろ！」
<0401> 「津久野が来た！　起きろ！」

// <0402> 瑚太朗
<0402> 瑚太朗

// <0403> 「え、ええっ？」
<0403> 「え、ええっ？」

// <0404> 状況に理解が及ばない。
<0404> 状況に理解が及ばない。

// <0405> とりあえず朱音の焦りに引っ張られて、俺もあせあせした。
<0405> とりあえず朱音の焦りに引っ張られて、俺もあせあせした。

// <0406> 瑚太朗
<0406> 瑚太朗

// <0407> 「ど、どうすればっ？」
<0407> 「ど、どうすればっ？」

// <0408> 朱音
<0408> 朱音

// <0409> 「逢い引きと思われる！　ロ、ロッカーとかに隠れなさい！」
<0409> 「逢い引きと思われる！　ロ、ロッカーとかに隠れなさい！」

// <0410> 瑚太朗
<0410> 瑚太朗

// <0411> 「は、はい！」
<0411> 「は、はい！」

// <0412> ロッカーに飛び込んだ。
<0412> ロッカーに飛び込んだ。

// <0413> 津久野
<0413> 津久野

// <0414> 「おはようございます」
<0414> 「おはようございます」

// <0415> 朱音
<0415> 朱音

// <0416> 「な、何っ」
<0416> 「な、何っ」

// <0417> 津久野さんは少しいぶかしげに首をかしげた。
<0417> 津久野さんは少しいぶかしげに首をかしげた。

// <0418> 津久野
<0418> 津久野

// <0419> 「…極秘でお耳に入れたい件があります」
<0419> 「…極秘でお耳に入れたい件があります」

// <0420> 朱音
<0420> 朱音

// <0421> 「ご、極秘？　重要？」
<0421> 「ご、極秘？　重要？」

// <0422> 津久野
<0422> 津久野

// <0423> 「最重要です。今、この件について知っているのは私と担当の者だけです」
<0423> 「最重要です。今、この件について知っているのは私と担当の者だけです」

// <0424> 津久野
<0424> 津久野

// <0425> 「…他に誰もいないようですので、ここでお話しても構いませんね」
<0425> 「…他に誰もいないようですので、ここでお話しても構いませんね」

// <0426> 朱音
<0426> 朱音

// <0427> 「………」
<0427> 「………」

// <0428> 朱音が珍しく脂汗をかいている。
<0428> 朱音が珍しく脂汗をかいている。

// <0429> 津久野
<0429> 津久野

// <0430> 「実は…」
<0430> 「実は…」

// <0431> 朱音
<0431> 朱音

// <0432> 「ストップ」
<0432> 「ストップ」

// <0433> 津久野
<0433> 津久野

// <0434> 「は…？」
<0434> 「は…？」

// <0435> 朱音
<0435> 朱音

// <0436> 「…もういいわ、出てきてちょうだい」
<0436> 「…もういいわ、出てきてちょうだい」

// <0437> 俺は恥じらいながらロッカーから出た。
<0437> 俺は恥じらいながらロッカーから出た。

// <0438> 津久野さんが珍しく絶句していた。
<0438> 津久野さんが珍しく絶句していた。

// <0439> 津久野
<0439> 津久野

// <0440> 「これは」
<0440> 「これは」

// <0441> 朱音
<0441> 朱音

// <0442> 「津久野、言っておくけど、私たちには特に深い意味はないわよ」
<0442> 「津久野、言っておくけど、私たちには特に深い意味はないわよ」

// <0443> すげえ広範囲な全否定だな…
<0443> すげえ広範囲な全否定だな…

// <0444> 津久野
<0444> 津久野

// <0445> 「あ、そういうことでしたか…」
<0445> 「あ、そういうことでしたか…」

// <0446> 津久野
<0446> 津久野

// <0447> 「これは申し訳ありません」
<0447> 「これは申し訳ありません」

// <0448> 津久野
<0448> 津久野

// <0449> 「とりあえず、おめでとうございます」
<0449> 「とりあえず、おめでとうございます」

// <0450> 朱音
<0450> 朱音

// <0451> 「違う！」
<0451> 「違う！」

// <0452> 朱音
<0452> 朱音

// <0453> 「これは最重要機密よ、津久野…」
<0453> 「これは最重要機密よ、津久野…」

// <0454> 津久野
<0454> 津久野

// <0455> 「では話は別室で…」
<0455> 「では話は別室で…」

// <0456> 俺を気にしながら、津久野さんは言葉尻を濁した。
<0456> 俺を気にしながら、津久野さんは言葉尻を濁した。

// <0457> 朱音
<0457> 朱音

// <0458> 「瑚太朗なら構わないわ。聞かれてもいいわよ」
<0458> 「瑚太朗なら構わないわ。聞かれてもいいわよ」

// <0459> 津久野
<0459> 津久野

// <0460> 「…では」
<0460> 「…では」

// <0461> 津久野
<0461> 津久野

// <0462> 「桜様のご遺体から、超常性の毒物が検出されたそうです」
<0462> 「桜様のご遺体から、超常性の毒物が検出されたそうです」

// <0463> 津久野
<0463> 津久野

// <0464> 「工作の痕跡もなく、ほぼ確実に他殺であるとのことです」
<0464> 「工作の痕跡もなく、ほぼ確実に他殺であるとのことです」

// <0465> 朱音
<0465> 朱音

// <0466> 「そう…」
<0466> 「そう…」

// <0467> 津久野
<0467> 津久野

// <0468> 「どうも内通といいますか、組織内に利敵行為があったようです」
<0468> 「どうも内通といいますか、組織内に利敵行為があったようです」

// <0469> 瑚太朗
<0469> 瑚太朗

// <0470> 「…」
<0470> 「…」

// <0471> 津久野
<0471> 津久野

// <0472> 「犯行時の状況をチェックしてみたところ…警備に意図的な穴がもうけられていた節があります」
<0472> 「犯行時の状況をチェックしてみたところ…警備に意図的な穴がもうけられていた節があります」

// <0473> 津久野さんは、身内に裏切者がいることを仄めかした。
<0473> 津久野さんは、身内に裏切者がいることを仄めかした。

// <0474> 朱音
<0474> 朱音

// <0475> 「それは…洲崎の指示だと思う？」
<0475> 「それは…洲崎の指示だと思う？」

// <0476> 津久野
<0476> 津久野

// <0477> 「警備部はシステムのログ照会を拒みました」
<0477> 「警備部はシステムのログ照会を拒みました」

// <0478> 朱音
<0478> 朱音

// <0479> 「………」
