// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
// <0270> 「それらも上手に扱えば、何かの特効薬になったりという話は、聞いたことがあるでしょう」
<0270> 「それらも上手に扱えば、何かの特効薬になったりという話は、聞いたことがあるでしょう」

// <0271> しかし、その瘴気は異なる。
<0271> しかし、その瘴気は異なる。

// <0272> 生命を奪うことを唯一の目的とする。全ての生物が忌避すべき、死の毒なのだ。
<0272> 生命を奪うことを唯一の目的とする。全ての生物が忌避すべき、死の毒なのだ。

// <0273> この毒に、千年後の未来は飲み込まれる。そしてそれは不可避なのだ。
<0273> この毒に、千年後の未来は飲み込まれる。そしてそれは不可避なのだ。

// <0274> つまり、千年後の未来を生きるには、この「死の毒」を、受け容れなければならない。
<0274> つまり、千年後の未来を生きるには、この「死の毒」を、受け容れなければならない。

// <0275> 西九条
<0275> 西九条

// <0276> 「シェルターやスーツで防ぐとか、薬物で中和するとか。連中は模索したわ」
<0276> 「シェルターやスーツで防ぐとか、薬物で中和するとか。連中は模索したわ」

// <0277> 西九条
<0277> 西九条

// <0278> 「その結果、……毒に抵抗するのではなく、毒を当たり前なものとして受け容れる体を作るべきではないかという、とんでもない話に行きつくの」
<0278> 「その結果、……毒に抵抗するのではなく、毒を当たり前なものとして受け容れる体を作るべきではないかという、とんでもない話に行きつくの」

// <0279> 瑚太朗
<0279> 瑚太朗

// <0280> 「……それが、ルチアなんですか」
<0280> 「……それが、ルチアなんですか」

// <0281> 西九条
<0281> 西九条

// <0282> 「だいぶ端折るとそういうことよ」
<0282> 「だいぶ端折るとそういうことよ」

// <0283> 西九条
<0283> 西九条

// <0284> 「ルチアちゃんは体を、千年後の死の世界が基本になるように作り変えられたわ」
<0284> 「ルチアちゃんは体を、千年後の死の世界が基本になるように作り変えられたわ」

// <0285> 西九条
<0285> 西九条

// <0286> 「つまり、ルチアちゃんにとっては、死の世界こそが当たり前で、逆に、私たちのこの世界が毒となるようになってしまった」
<0286> 「つまり、ルチアちゃんにとっては、死の世界こそが当たり前で、逆に、私たちのこの世界が毒となるようになってしまった」

// <0287> 瑚太朗
<0287> 瑚太朗

// <0288> 「この世界が、……ルチアには毒？」
<0288> 「この世界が、……ルチアには毒？」

// <0289> 西九条
<0289> 西九条

// <0290> 「えぇ。だからルチアちゃんは体内で常に死の世界の毒を自己生産して、自己投与をしているのよ」
<0290> 「えぇ。だからルチアちゃんは体内で常に死の世界の毒を自己生産して、自己投与をしているのよ」

// <0291> 瑚太朗
<0291> 瑚太朗

// <0292> 「……その、自己生産している毒が、体外に溢れ出すと…」
<0292> 「……その、自己生産している毒が、体外に溢れ出すと…」

// <0293> 西九条
<0293> 西九条

// <0294> 「恐ろしいことになるわ。天王寺君はもう、サンタブローシアで何があったか、知っているはずよ」
<0294> 「恐ろしいことになるわ。天王寺君はもう、サンタブローシアで何があったか、知っているはずよ」

// <0295> 瑚太朗
<0295> 瑚太朗

// <0296> 「…………」
<0296> 「…………」

// <0297> 西九条
<0297> 西九条

// <0298> 「当時、製薬会社の過失で、抑制剤にミスがあったの」
<0298> 「当時、製薬会社の過失で、抑制剤にミスがあったの」

// <0299> 西九条
<0299> 西九条

// <0300> 「長期間にわたり不適切な抑制剤が与えられ、彼女の毒が滲み出しはじめていた」
<0300> 「長期間にわたり不適切な抑制剤が与えられ、彼女の毒が滲み出しはじめていた」

// <0301> 西九条
<0301> 西九条

// <0302> 「……その兆候は大いにあったでしょうね。植物が枯れたり、病人が出たりという兆候は、事故の数か月前からあったと想像できるわ」
<0302> 「……その兆候は大いにあったでしょうね。植物が枯れたり、病人が出たりという兆候は、事故の数か月前からあったと想像できるわ」

// <0303> 瑚太朗
<0303> 瑚太朗

// <0304> 「……アサヒハルカの、…呪いか」
<0304> 「……アサヒハルカの、…呪いか」

// <0305> 西九条
<0305> 西九条

// <0306> 「あれは事故よ。彼女に責任はない」
<0306> 「あれは事故よ。彼女に責任はない」

// <0307> 瑚太朗
<0307> 瑚太朗

// <0308> 「彼女が触れたら、……花が枯れ、人が死んだ。彼女の手形を残して！」
<0308> 「彼女が触れたら、……花が枯れ、人が死んだ。彼女の手形を残して！」

// <0309> 瑚太朗
<0309> 瑚太朗

// <0310> 「それをまざまざと見せ付けられて、自分の責任だと思わないわけないだろっ！　ルチアはそれで、……どれほど苦しんだことかッ！」
<0310> 「それをまざまざと見せ付けられて、自分の責任だと思わないわけないだろっ！　ルチアはそれで、……どれほど苦しんだことかッ！」

// <0311> 西九条
<0311> 西九条

// <0312> 「えぇ。私も何度もそれを彼女に諭したわ。……あなたに責任はない。あなたに過酷を強いた運命のせいであると」
<0312> 「えぇ。私も何度もそれを彼女に諭したわ。……あなたに責任はない。あなたに過酷を強いた運命のせいであると」

// <0313> 瑚太朗
<0313> 瑚太朗

// <0314> 「違うッ！！　ルチアをそんなわけのわからない体に改造した連中が悪いに決まってるだろ！」
<0314> 「違うッ！！　ルチアをそんなわけのわからない体に改造した連中が悪いに決まってるだろ！」

// <0315> 瑚太朗
<0315> 瑚太朗

// <0316> 「元の体には戻せないのか？　元の普通の人間の体に！」
<0316> 「元の体には戻せないのか？　元の普通の人間の体に！」

// <0317> 西九条
<0317> 西九条

// <0318> 「不可逆的な手術だった。彼女はその体を受け容れる他なかった」
<0318> 「不可逆的な手術だった。彼女はその体を受け容れる他なかった」

// <0319> 瑚太朗
<0319> 瑚太朗

// <0320> 「ルチアはそんな手術を、本当に望んで受けたのか！？　俺にはそうとは思えない！」
<0320> 「ルチアはそんな手術を、本当に望んで受けたのか！？　俺にはそうとは思えない！」

// <0321> 西九条
<0321> 西九条

// <0322> 「……彼女は自ら望んで受けたわ。承諾書に拇印もある」
<0322> 「……彼女は自ら望んで受けたわ。承諾書に拇印もある」

// <0323> 西九条
<0323> 西九条

// <0324> 「ただし、物心もつかない、子供の頃にだけれどね」
<0324> 「ただし、物心もつかない、子供の頃にだけれどね」

// <0325> 瑚太朗
<0325> 瑚太朗

// <0326> 「お、お前らは何て惨いことをしてんだよッ！！！」
<0326> 「お、お前らは何て惨いことをしてんだよッ！！！」

// <0327> 西九条
<0327> 西九条

// <0328> 「えぇ。これは許されざる非人道的行為だわ」
<0328> 「えぇ。これは許されざる非人道的行為だわ」

// <0329> 西九条
<0329> 西九条

// <0330> 「総本部の耳に入ってすぐにこのプロジェクトは強制的に解散させられた」
<0330> 「総本部の耳に入ってすぐにこのプロジェクトは強制的に解散させられた」

// <0331> 西九条
<0331> 西九条

// <0332> 「関係者はことごとく処分され、事実は全て闇に葬られた」
<0332> 「関係者はことごとく処分され、事実は全て闇に葬られた」

// <0333> 西九条
<0333> 西九条

// <0334> 「でも、それまでの十数年もの間。……この悪魔のプロジェクトは、大勢の孤児たちに犠牲を強いたわ。恐ろしいことよ」
<0334> 「でも、それまでの十数年もの間。……この悪魔のプロジェクトは、大勢の孤児たちに犠牲を強いたわ。恐ろしいことよ」

// <0335> 瑚太朗
<0335> 瑚太朗

// <0336> 「何も終わってなんかいないッ」
<0336> 「何も終わってなんかいないッ」

// <0337> 瑚太朗
<0337> 瑚太朗

// <0338> 「プロジェクトとやらは潰えたかも知れねぇが、ルチアの苦悩は続いてる！　そしてこれからも、お前らの望む通り千年の未来までッ！！」
<0338> 「プロジェクトとやらは潰えたかも知れねぇが、ルチアの苦悩は続いてる！　そしてこれからも、お前らの望む通り千年の未来までッ！！」

// <0339> 瑚太朗
<0339> 瑚太朗

// <0340> 「なのにルチアは今もガーディアンに尽くしてる！　地球の楯となり槍となるって、今でも言っているんだぜ！？」
<0340> 「なのにルチアは今もガーディアンに尽くしてる！　地球の楯となり槍となるって、今でも言っているんだぜ！？」

// <0341> 瑚太朗
<0341> 瑚太朗

// <0342> 「どうしてだよ！？　自分をそんなおかしな体にしたガーディアンを、どうして憎めないんだ！？」
